post_id,platform,account_id,content_type,caption,hashtags,posting_datetime,duration_seconds,views,likes,comments_count,shares,saves,retention_rate,like_rate,comment_rate,engagement_rate,views_per_second,posting_hour,posting_day,is_weekend,caption_length,hashtag_count,video_length_group,virality_score,virality_score_type,virality_level,topic
aK-8RoZ7qNw,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"7 Signs You Might Be Less Intelligent Than You Think

What are the subtle signs of low intelligence or cognitive rigidity, and how can we overcome them? In this video, we dive into the psychology of rigid thinking patterns, how they impact problem-solving, and actionable steps you can take to build cognitive flexibility.

Special thanks to our animator, Rachelle, for bringing this topic to our attention after watching a video on cognitive rigidity by  ⁨@AlanaAnijar⁩  

A Message to Our Community:

This video was completed a few weeks ago, but we held back on releasing it while restructuring Psych2Go for long-term sustainability. We read all your supportive comments, and they mean the world to us. Moving forward, we want to rely less on unpredictable YouTube revenue so we can keep creating the content you love.

We are considering a $1/month channel membership or subscription model that gives you access to exclusive monthly content, including digital and physical editions of our Psych2Go magazine series and merch discounts.

Would you be interested in supporting us for $1/month to help fund future content? Let us know in the comments below!

Research & References:

Cahalan, S., Mitroff, S. R., Subiaul, F., & Rosenblau, G. (2025). Using the cognitive rigidity-flexibility dimension to deepen our understanding of cognitive function. Personality Neuroscience, 8, e3. https://doi.org/10.1017/pen.2025.3

Ramakrishnan, S., Robbins, T. W., & Zmigrod, L. (2022). Cognitive rigidity, habitual tendencies, and obsessive-compulsive symptoms: Individual differences and compensatory interactions. Frontiers in Psychiatry, 13, 856330. https://doi.org/10.3389/fpsyt.2022.856330

Schaie, K. W., Dutta, R., & Willis, S. L. (1991). Relationship between rigidity-flexibility and cognitive abilities in adulthood. Psychology and Aging, 6(3), 371–383. https://doi.org/10.1037/0882-7974.6.3.371

0:00 Rethinking Intelligence and Cognitive Rigidity
2:02 Eight Patterns of Cognitive Rigidity
4:05 Practical Steps to Expand Your Thinking
5:56 Beyond IQ: Redefining Human Potential","rigid thinking, psychology, intelligence, low iq signs, poor decision making, signs of low intelligence, signs of low iq",2026-09-11 22:00:26+00:00,413,46770,1063,222,,,,2.2728244601240113,0.47466324567030144,2.7474877057943123,113.24455205811138,22,Friday,False,2077,0,Long (60+ sec),1.4561684840709856,YouTube engagement-reach proxy,Low,Relationships and Social Life
BRXAMkaMzHs,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"Why You Can’t Stop Thinking About Someone

Today's video is for those with broken relationships in the past. Why is it so hard to let go of someone, even when you know the relationship is over? Sometimes it’s not just love keeping you attached. An unfinished story can keep pulling your attention back, something often associated with the Zeigarnik effect. Unpredictable moments of affection can make you crave the next rewarding interaction, while familiarity and the habits you built together can make their absence feel even harder to adjust to. In this video, we explore the psychology behind why you still feel hooked on someone and why moving on can take longer than you expect.

Today's project is brought to life by @rosielam. She's an artist from Hongkong but lives in Australia! She recently finished her post in animation and has a passion to bring life to the works of psych2go. Without her, we can't keep making amazing videos like these for you. 

However, with money issues, and costs of return for each of these videos, we hope that you can support us by sharing these videos so that we can keep hiring talents like her to make more money. You can do so by simply leaving a comment in the video to help boost the engagement on Youtube algorithm. 

Also, we have an exciting plan to test out tomorrow to see if it's a sustainable model to fix this revenue issue. Our goal is still to hit 15 million subscribers or impact. Subscribers don't mean revenue, but at least it's a sign of the lives we've impacted. 

References: 

Ghibellini, R., & Meier, B. (2025). Interruption, recall and resumption: A meta-analysis of the Zeigarnik and Ovsiankina effects. Humanities and Social Sciences Communications, 12, 962. https://doi.org/10.1057/s41599-025-05000-w

Montoya, R. M., Horton, R. S., Vevea, J. L., Citkowicz, M., & Lauber, E. A. (2017). A re-examination of the mere exposure effect: The influence of repeated exposure on recognition, familiarity, and liking. Psychological Bulletin, 143(5), 459–498. https://doi.org/10.1037/bul0000085

Zack, M., St. George, R., & Clark, L. (2020). Dopaminergic signaling of uncertainty and the aetiology of gambling addiction. Progress in Neuro-Psychopharmacology and Biological Psychiatry, 99, 109853. https://doi.org/10.1016/j.pnpbp.2019.109853","why you can't let go of someone, why you can't get over someone, psychology of breakups, breakup psychology, Zeigarnik effect, unfinished relationships, unfinished love",2026-09-09 22:47:54+00:00,361,63011,2182,493,,,,3.462887432353081,0.7824030724794083,4.24529050483249,174.54570637119113,22,Wednesday,False,2296,0,Long (60+ sec),2.971703353382743,YouTube engagement-reach proxy,Medium,Relationships and Social Life
ZOXNFs4kjAc,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"Why You’re Stronger Than You Think (Live 6-Question Quiz) | Monica Taing

'I’ve survived until now, but it's getting tougher and tougher... I don't feel strong enough to move on.' If you’ve felt this way, you may feel exhausted from enduring the burden of challenging situations. In today’s livestream, we will talk about how to bounce back from mental health challenges to help you cultivate resilience.

Monica Taing (Neuroscience Graduate @ the University of Oxford and Medical Student @ McGill University http://linkedin.com/in/monicataing) guides us through measuring our resilience score and shares practical, evidence-based strategies to cultivate resilience.

➡️ Download our free psychology worksheet: https://forms.gle/uKH61EfQJgQQMujz8
➡️ Join our Discord: http://discord.gg/EsWEvrJ

🌱  TIMESTAMPS
Introductions 0:00-6:45
What is Resilience? 6:45-9:41
The Brief Resilience Scale (Live Quiz) 9:41-16:48
Understanding Resilience Scores 16:48-19:53
Strategies to Cultivate Resilience 19:53-29:56
- Cognitive Reframing 19:53
- Problem Solving 23:36
- Cognitive Flexibility 27:48
Closing and Q&A 31:18-33:54

🌱 JOIN OUR CONVERSATION
Leave a comment during the livestream with topic ideas for the next stream - the one with the most engagement will be selected!

🌱 DISCLAIMER
This livestream is intended for psychological education and peer support. It does not provide medical services or professional counselling, and is not a substitute for care. Please speak with a healthcare professional if you’re experiencing symptoms of anxiety, depression, any other mental health condition, or an emergency. If you’re in crisis, please reach out to a local crisis line or emergency services.

#Resilience #MentalHealth #BounceBack #SelfImprovement #Recovery #GrowthMindset #Psych2Go","#Resilience, #MentalHealth, #Psych2Go, #BounceBack, #Neuroscience, #MonicaTaing, #MonicaMiranda, #BriefResilienceScale, #MentalHealthQuiz, #RecoveryScore, #EmotionalStrength, #StressManagement, #MedicalEducation, #MedEd, #MindsetShift, #MentalExhaustion, #CopingStrategies, #PsychologyFacts, #NeuroscienceOfResilience, #DigitalWellness, #OxfordNeuroscience, #TraumaRecovery, #MentalHealthSupport, #WellbeingTips, #BounceBacks, #resiliences, #resilient, how to be resilient, how to bounce back, how to be mentally strong",2026-08-31 17:59:22+00:00,2040,66239,934,173,,,,1.4100454415072692,0.26117544045048985,1.671220881957759,32.470098039215685,17,Monday,False,1781,27,Long (60+ sec),1.2032790350095863,YouTube engagement-reach proxy,Low,Burnout and Mental Pressure
TMgUp3P2S7U,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"Why is Cuteness Often Sexualize? Psychology Explained

Why are humans so obsessed with cute things? Why do plushies, cartoon characters, pastel aesthetics, and Kawaii culture make us feel comforted, emotional, and weirdly attached? In this video, we explore the psychology of cuteness, baby schema, Kawaii culture, emotional regulation, and why our brains are biologically wired to react to adorable things.

From dopamine and oxytocin to emotional safety and attachment, we break down the science behind why “cute” hits so hard and how modern culture turns that instinct into aesthetics, comfort, identity, marketing, and sometimes even something darker.

Whether you love plushies, pastel aesthetics, anime, cozy gaming, or simply want to understand why cute things feel emotionally powerful, this deep dive into psychology and culture explains the hidden science behind it all.

🚀 Join the Psych2go Community: If this video helped you feel more understood, please Like the video and Subscribe to the channel so you won't miss any upcoming mental wellness and psychology focused content 
👇 Comment below: What’s something “cute” that instantly makes your brain happy? 

References: 
Borgi, M., & Cirulli, F. (2015). Baby schema in human and animal faces induces cuteness perception and gaze allocation in children. Frontiers in Psychology, 6, 1761. doi.org/10.3389/fpsyg.2015.01761
Glocker, M. L., Langleben, D. D., Ruparel, K., Loughead, J. W., Gur, R. C., & Sachser, N. (2009). Baby schema in infant faces induces cuteness perception and motivation for caretaking in adults. Ethology, 115(3), 257–263. doi.org/10.1111/j.1439-0310.2008.01603.x
Nittono, H., Fukushima, M., Yano, A., & Moriya, H. (2012). The power of Kawaii: Viewing cute images promotes a careful behavior and narrows attentional focus. PLOS ONE, 7(9), e46362. doi.org/10.1371/journal.pone.0046362
LoBue, V., & Thrasher, C. (2015). The child’s developing emotion system: Implications for early learning. Child Development Perspectives, 9(3), 171–175. doi.org/10.1111/cdep.12128
Sherman, G. D., Haidt, J., & Coan, J. A. (2009). Viewing cute images increases behavioral carefulness. Emotion, 9(2), 282–286. doi.org/10.1037/a0014904
Steele, J. R., & Brown, J. D. (1995). Adolescent room culture: Studying media in the context of everyday life. Journal of Youth and Adolescence, 24(5), 551–576. doi.org/10.1007/BF01537056","psychology of cuteness, kawaii culture, why humans love cute things, baby schema psychology, science of cute things, kawaii psychology, why cute things make us happy, emotional attachment psychology, dopamine psychology, why plushies are comforting, neuroscience of cuteness, comfort aesthetics, emotional regulation, psychology facts, psych2go style",2026-08-21 11:40:11+00:00,384,67832,3779,930,,,,5.571116876990211,1.3710343200849158,6.942151197075126,176.64583333333334,11,Friday,False,2386,0,Long (60+ sec),5.137191885835593,YouTube engagement-reach proxy,High,Academic Pressure
4oA0vHbmrdw,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"You Want to Talk... But You Can't

If you’ve ever felt like a burden to the people around you, this video is for you. 

When you're dealing with depression, opening up can feel terrifying. The hardest part isn't always the pain itself. It's the constant exhaustion of pretending you're fine so you don't bring anyone else down. But the truth is, the people who feel most like a burden are usually the ones carrying everything entirely alone. 

This video explores the heavy cycle of silent struggle, what happens when the weight finally spills over, and how finding tiny moments of connection can change everything. 

You were never meant to carry it all by yourself. 

🌱 If you’re struggling right now, what is one small thing you can let go of today? Comment below! 

---

🎧 RESOURCES & SUPPORT (If you need someone to talk to):
* US & Canada: Call or text 988 to reach the Suicide & Crisis Lifeline, available 24/7.
* UK: Call 111 to reach the NHS mental health services, or call 116 123 for the Samaritans.
* International: Find local resources and helplines at https://findahelpline.com/

---

#MentalHealth #Depression #Animation #MentalHealthAwareness #Emotional #SelfCare #Healing","how to open up about depression, feeling like a burden, dealing with depression alone, mental health animation, emotional short film, hidden depression, loneliness and mental health, coping with depression, mental health awareness, overcoming emotional burnout",2026-08-09 13:14:55+00:00,197,87268,5589,1238,,,,6.4044094055094645,1.4186185085025438,7.82302791401201,442.98477157360406,13,Sunday,True,1188,0,Long (60+ sec),6.101961772929368,YouTube engagement-reach proxy,High,Other
adY3Z04l-yU,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"Why You Can't Figure Out What You're Feeling | Live with Monica Taing

If you don't know what you feel anymore, we see you. Watch our last related video here: https://youtu.be/2KAri3P0YE4

Emotional numbness can feel confusing and isolating, but there is often a reason behind it. In this livestream, we’ll explore the psychology of emotional numbness and how you can begin reconnecting with yourself.

Monica Taing (Neuroscience Graduate @ the University of Oxford and Medical Student @ McGill University http://linkedin.com/in/monicataing) unpacks the evidence behind emotional numbness and shares practical, evidence-based strategies to better understand your emotions and move towards feeling connected again.

➡️ Download our free psychology worksheet: https://forms.gle/uKH61EfQJgQQMujz8
➡️ Join our Discord: http://discord.gg/EsWEvrJ

🌱 TIMESTAMPS
- Introduction & Community Check-in: (0:00 - 10:21) Introduction to Monica Taing, the emotional thermometer, and the goals of the stream
- Emotional Numbness vs. Alexithymia: (10:23 - 14:23) Defining the differences between feeling muted emotions versus being unable to identify them.
- Potential Causes: (14:24 - 22:06) Exploring factors like trauma responses, depression, stress, medication, and the importance of learning emotional regulation as a skill.
- What You Are and Are Not Responsible For (20:46 - 21:15)
- What You Can Try (22:07 - 28:59) Practical exercises you can try

🌱 JOIN OUR CONVERSATION
Leave a comment during the livestream with topic ideas for the next stream - the one with the most engagement will be selected!

🌱 DISCLAIMER
This livestream is intended for psychological education and peer support. It does not provide medical services or professional counselling, and is not a substitute for care. Please speak with a healthcare professional if you’re experiencing symptoms of anxiety, depression, any other mental health condition, or an emergency. If you’re in crisis, please reach out to a local crisis line or emergency services.

#emotionalnumbness #alexithymia #mentalhealth #psychology #psych2go #therapy","alexithymia, emotional numbness, emotional numbing, emotionaless, emotional numb, emotionally numbed, alexythymia, alexithymea, alexithymias, difficulty recognising emotions, emotionally numb, emotionally numbed out, alexethymia",2026-08-08 13:12:10+00:00,2039,15682,910,186,,,,5.802831271521489,1.1860732049483484,6.9889044764698385,7.691025012260912,13,Saturday,True,2093,0,Long (60+ sec),0.34944522382349197,YouTube engagement-reach proxy,Low,Burnout and Mental Pressure
2KAri3P0YE4,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"You Don’t Know What You Feel Anymore

Sometimes the hardest part isn't knowing what to do; it's not even knowing what you feel.

This video explores the experience of feeling emotionally disconnected, overwhelmed, or simply unable to put your emotions into words. If you've ever found yourself saying ""I'm fine"" while feeling completely lost inside, I hope this gives you a quiet moment to reflect.

Thank you for watching and for giving these experiments a chance. We're always trying different styles and topics to see what resonates most with you.

Music Credit: Check out her channel: 
Oneul - https://www.youtube.com/watch?v=pbkodRYwx-E
She has many music library perfect for studying or trying to calm, all the way back to 2018 just like Psych2Go.  We really respect content creators like her who just keeps going no matter how YT has evolved. 

Further Reading (APA 7th Edition)

Lane, R. D., Quinlan, D. M., Schwartz, G. E., Walker, P. A., & Zeitlin, S. B. (1990). The Levels of Emotional Awareness Scale: A cognitive-developmental measure of emotion. Journal of Personality Assessment, 55(1–2), 124–134.

Barrett, L. F. (2017). How emotions are made: The secret life of the brain. Houghton Mifflin Harcourt.

For our own vids, we suggest taking this quiz to see if you're bottling up your emotions: https://youtu.be/QASBKMS8iY4?si=3UG1cf5s9mWA9tF1
And lastly don't forget to check out our wellness store to see what kind of special merch we have for you: https://psych2go.shop",,2026-07-29 08:39:06+00:00,293,395284,27678,3447,,,,7.002054219244898,0.8720312484188584,7.874085467663755,1349.0921501706484,8,Wednesday,False,1485,0,Long (60+ sec),7.795344612987117,YouTube engagement-reach proxy,High,Academic Pressure
9HBfpAK-jUo,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"What is Traumatic Intelligence?

Have you ever noticed that some people seem unusually good at sensing danger, reading people's emotions, or noticing subtle changes that others miss?

Sometimes, what looks like strong intuition may actually be something researchers have explored in relation to trauma. Experiences from our past can shape how our brains process the world around us. Sometimes helping us notice things others don't, while also making it harder to feel safe or fully relax.

In this video, we explore the concept of traumatic intelligence, how trauma may influence perception and awareness, and why understanding these patterns can help us better understand ourselves and others.

If this topic resonated with you, we'd love to hear your thoughts in the comments.

Disclaimer:
This video is for educational purposes only and is not intended to diagnose or replace professional mental health advice. If you're struggling, please consider speaking with a qualified mental health professional.

Subscribe for more psychology videos every week:
https://www.youtube.com/@Psych2go

References for self readings: 

van der Kolk, B. A. (2014). The body keeps the score: Brain, mind, and body in the healing of trauma. Viking.

American Psychiatric Association. (2022). Diagnostic and statistical manual of mental disorders (5th ed., text rev.; DSM-5-TR). American Psychiatric Association Publishing.

Levine, P. A. (1997). Waking the tiger: Healing trauma. North Atlantic Books.","psychology, trauma, traumatic intelligence, PTSD, CPTSD, complex trauma, hypervigilance, emotional intelligence, childhood trauma, mental health, neuroscience, trauma healing, therapy, psychology facts, self awareness, psychology explained, emotional regulation, nervous system, Psych2Go, mental wellness",2026-07-26 15:35:36+00:00,325,38350,2660,423,,,,6.936114732724902,1.1029986962190352,8.039113428943939,118.0,15,Sunday,True,1485,0,Long (60+ sec),2.8136897001303782,YouTube engagement-reach proxy,Medium,Relationships and Social Life
bA7mHsBLOQU,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"How to Break the Loop You Can't Escape | Live with Monica Taing

If you're acting on unhelpful behaviours and bad habits that keep you stuck, this video is for you. Live on Saturday, 25 July 2026, 08h15 Eastern Time.

Monica Taing http://linkedin.com/in/monicataing (Neuroscience Graduate @ the University of Oxford and Medical Student @ McGill University) unpacks the evidence about how to stop self-defeating patterns. By the end of the stream, you will learn an evidence-based skill to break the cycle. 

Download our free accompanying worksheet: https://forms.gle/uKH61EfQJgQQMujz8
Join our Discord: http://discord.gg/EsWEvrJ

🌱 JOIN OUR CONVERSATION

Leave a comment in the livestream with topic ideas for the next stream — the one with the most engagement will be selected!

🌱 DISCLAIMER

This livestream is intended for psychological education and peer support. It does not provide medical services or professional counselling, and is not a substitute for care. Please speak with a healthcare professional if you're experiencing symptoms of anxiety, any other mental health condition, or an emergency. If you're in crisis, please reach out to a local crisis line or emergency services.

#selfsabotage #mentalhealth #psych2go #therapy","self sabotage, how to self self sabotage, why do i self sabotage, stuck in a loop, breaking bad patterns, repeating the same mistakes, how to break a cycle, feeling stuck, self defeating behaviours, behavioural chain analysis, behavioural chain analyses, behavioral chain analysis, dbt, dbt skills, breaking bad habits, emotional regulation",2026-07-25 13:03:40+00:00,1824,11668,676,73,,,,5.7936235858759,0.6256427836818649,6.419266369557765,6.396929824561403,13,Saturday,True,1240,0,Long (60+ sec),0.06419266369557765,YouTube engagement-reach proxy,Low,Academic Pressure
tsDkpbAtZGE,YouTube,UCkJEpR7JmS36tajD34Gp4VA,Long-form,"Why Some People Find Certain Faces More Attractive than Other

Have you ever met someone once and remembered their face years later, while forgetting so many others?

In this video, we explore some of the psychology behind why certain faces stay with us. From facial distinctiveness to emotional memories and familiarity, our brains are constantly deciding which faces are worth remembering.

What do you think makes someone unforgettable? Let us know in the comments. We'd love to hear your thoughts and experiences.

If you'd like to support Psych2Go and help us continue creating free mental health and psychology content, check out our new shop:

https://psych2go.shop

Thank you for being part of our community.

References

Bruce, V., & Young, A. (1986). Understanding face recognition. British Journal of Psychology, 77(3), 305–327.

Kanwisher, N., McDermott, J., & Chun, M. M. (1997). The fusiform face area: A module in human extrastriate cortex specialized for face perception. Journal of Neuroscience, 17(11), 4302–4311.

Rhodes, G. (2006). The evolutionary psychology of facial beauty. Annual Review of Psychology, 57, 199–226.

Valentine, T. (1991). A unified account of the effects of distinctiveness, inversion, and race in face recognition. Quarterly Journal of Experimental Psychology, 43A(2), 161–204.",,2026-07-24 13:20:25+00:00,466,25357,1444,210,,,,5.694679970028,0.8281736798517175,6.522853649879718,54.41416309012875,13,Friday,False,1319,0,Long (60+ sec),0.8479709744843633,YouTube engagement-reach proxy,Low,Relationships and Social Life
